_id,pin,number,total_amount
6879677,0075H00128000000,2,306.84
6879678,0075H00151000000,2,192.75
6879679,0075H00153000000,2,546.78
6879680,0075H00159000000,3,928.06
6879681,0075H00174000000,2,795.41
6879682,0075H00190000000,6,2795.52
6879683,0075H00196000000,15,11167.4
6879684,0075H00207000000,1,59.25
6879685,0075H00260000000,2,1401.98
6879686,0075H00314000000,3,5451.35
6879687,0075L00048000000,4,3477.03
6879688,0075L00083000000,2,2198.39
6879689,0075L00088000000,19,1479.21
6879690,0075L00093000000,14,2799.37
6879691,0075L00096000000,12,78.54
6879692,0075L00099000000,11,436.39
6879693,0075L00102000000,4,4.14
6879694,0075L00103000000,8,38.51
6879695,0075L00104000000,10,46.5
6879696,0075L00109000000,1,1.89
6879697,0075L00111000000,2,13.5
6879698,0075L00116000000,13,990.53
6879699,0075L00120000000,1,573.58
6879700,0075L00121000000,16,10135.96
6879701,0075L00124000000,7,968.6
6879702,0075L00127000000,18,7821.04
6879703,0075L00176000000,1,1155.19
6879704,0075L00177000000,7,2963.44
6879705,0075L00190000000,10,9394.11
6879706,0075L00241000000,3,11.34
6879707,0075L00242000000,1,93.24
6879708,0075L00245000000,8,926.86
6879709,0075L00270000000,3,1224.72
6879710,0075L00284000000,1,138.12
6879711,0075L00289000000,9,2465.42
6879712,0075L00291000000,11,4552.89
6879713,0075L00294000000,14,3129.16
6879714,0075L00313000000,2,346.78
6879715,0075M00001000000,3,297.45
6879716,0075M00004000000,1,80.41
6879717,0075M00009000000,9,229.62
6879718,0075M00011000000,14,821.06
6879719,0075M00011000100,18,2468.34
6879720,0075M00012000000,6,1944.49
6879721,0075M00016000000,2,248.8
6879722,0075M00029000000,7,1409.93
6879723,0075M00050000000,39,736.79
6879724,0075M00051000000,1,268.28
6879725,0075M00053000000,25,3645.98
6879726,0075M00054000000,22,10414.55
6879727,0075M00058000000,11,4544.87
6879728,0075M00059000000,2,7.56
6879729,0075M00061000000,11,1486.68
6879730,0075M00061000B00,5,1086.37
6879731,0075M00062000000,21,7693.72
6879732,0075M00069000000,1,22.23
6879733,0075M00077000000,6,1311.3
6879734,0075M00078000000,16,7180.4
6879735,0075M00093000000,9,109.53
6879736,0075M00099000000,36,1136.08
6879737,0075M00100000000,40,511.86
6879738,0075M00101000000,5,12.46
6879739,0075M00129000000,4,161.2
6879740,0075M00131000000,1,264.88
6879741,0075M00134000000,8,734.25
6879742,0075M00144000000,9,68.44
6879743,0075M00145000000,11,78.49
6879744,0075M00146000000,22,7867.96
6879745,0075M00155000000,1,83.25
6879746,0075M00172000000,2,265.82
6879747,0075M00176000000,1,1008.58
6879748,0075M00202000000,8,923.32
6879749,0075M00204000000,26,4879.43
6879750,0075M00206000000,1,85.84
6879751,0075M00216000000,23,135.56
6879752,0075M00248000000,2,454.2
6879753,0075M00261000000,2,55.82
6879754,0075M00262000000,4,457.34
6879755,0075M00263000000,9,3196.3
6879756,0075M00263000A00,2,318.17
6879757,0075M00264000A00,11,2763.95
6879758,0075M00265000000,1,70.48
6879759,0075M00269000000,26,8534.08
6879760,0075M00278000000,4,1501.98
6879761,0075M00280000000,4,1893.32
6879762,0075M00282000000,20,216.19
6879763,0075M00284000000,2,247.5
6879764,0075M00285000000,1,632.47
6879765,0075M00288000000,32,16624.43
6879766,0075M00292000000,5,2268.53
6879767,0075M00329000000,14,79.46
6879768,0075M00335000000,22,4236.91
6879769,0075M00339000000,28,15558.9
6879770,0075M00340000000,15,161.43
6879771,0075M00341000000,30,1980.29
6879772,0075R00003000000,1,369.89
6879773,0075R00006000000,2,876.22
6879774,0075R00083000000,1,473
6879775,0075R00090000000,14,4877.04
6879776,0075R00094000000,2,68.61
6879777,0075R00100000000,1,132.91
6879778,0075R00103000000,11,3217.86
6879779,0075R00104000000,17,5459.33
6879780,0075R00105000000,6,864.68
6879781,0075R00106000000,1,92.24
6879782,0075R00107000000,6,1117.78
6879783,0075R00110000000,1,18.92
6879784,0075R00112000000,1,141.9
6879785,0075R00113000000,10,3082.92
6879786,0075R00114000000,9,91.1
6879787,0075R00115000000,37,859.21
6879788,0075R00116000000,39,2039.74
6879789,0075R00119000000,19,32.97
6879790,0075S00012000000,6,2657.23
6879791,0075S00028000000,1,5.68
6879792,0075S00033000000,1,49.66
6879793,0075S00067000000,5,1261.87
6879794,0075S00069000000,9,180.57
6879795,0075S00071000000,22,945.13
6879796,0075S00072000000,22,109.36
6879797,0075S00074000000,33,1743.27
6879798,0075S00084000000,12,393.61
6879799,0075S00092000000,3,394.35
6879800,0075S00094000000,15,1475.58
6879801,0075S00108000000,10,7533.42
6879802,0075S00113000000,2,528.28
6879803,0075S00134000000,29,2233.28
6879804,0075S00135000000,24,2640.79
6879805,0075S00138000000,35,1609.14
6879806,0075S00139000000,33,2201.92
6879807,0075S00147000000,35,9957.1
6879808,0075S00148000000,1,62.44
6879809,0075S00151000000,23,1051.1
6879810,0075S00152000000,1,5.68
6879811,0075S00159000000,2,279.14
6879812,0075S00160000000,7,1015.83
6879813,0075S00172000000,20,3317.24
6879814,0075S00175000000,1,672.38
6879815,0075S00178000000,9,1260.82
6879816,0075S00180000000,42,13181.26
6879817,0075S00181000000,8,967.79
6879818,0075S00183000000,22,3784.24
6879819,0075S00184000A00,2,572.47
6879820,0075S00188000000,8,1209.07
6879821,0075S00198000000,1,146.16
6879822,0075S00202000000,17,1073.41
6879823,0075S00207000000,29,2674.63
6879824,0075S00212000000,8,648.32
6879825,0075S00215000000,14,5203.7
6879826,0075S00216000000,36,3526.82
6879827,0075S00220000000,25,7880.84
6879828,0075S00222000000,23,3155.5
6879829,0075S00227000000,2,183.6
6879830,0075S00246000000,15,719.23
6879831,0075S00253000000,18,563.46
6879832,0075S00254000000,12,1653.92
6879833,0075S00256000000,40,8689.13
6879834,0075S00259000000,17,6353.08
6879835,0075S00268000000,1,41.15
6879836,0075S00272000000,29,10696.96
6879837,0075S00275000000,16,2050.25
6879838,0075S00276000000,12,177.26
6879839,0075S00280000000,1,91.76
6879840,0075S00282000000,9,214.12
6879841,0075S00283000000,7,14.56
6879842,0075S00283000A00,8,20.89
6879843,0075S00284000000,8,19.69
6879844,0075S00285000000,9,21.62
6879845,0075S00293000000,4,207.54
6879846,0075S00295000000,1,88.45
6879847,0075S00295000A00,2,207.7
6879848,0075S00296000000,4,908.38
6879849,0075S00298000000,5,750.4
6879850,0075S00299000000,1,143.32
6879851,0075S00310000000,1,208.9
6879852,0075S00325000000,2,176.47
6879853,0075S00329000000,19,10895.85
6879854,0075S00335000000,44,4143.06
6879855,0075S00360000000,13,4401.73
6879856,0075S00366000000,44,4552.44
6879857,0075S00370000000,44,5238.09
6879858,0076A00089000000,3,5002.5
6879859,0076A00093000000,1,94.6
6879860,0076A00095000000,2,218.72
6879861,0076A00097000000,2,192.49
6879862,0076A00108000000,1,241.7
6879863,0076A00124000000,6,1584.18
6879864,0076A00167000000,3,894.98
6879865,0076A00168000000,43,31291.3
6879866,0076A00184000000,7,2999.56
6879867,0076A00213000000,4,2601.97
6879868,0076A00222000000,3,1193.33
6879869,0076A00224000000,1,272.92
6879870,0076A00226000000,10,6768.02
6879871,0076A00246000000,32,4055.27
6879872,0076A00257000000,22,397.89
6879873,0076B00030000000,1,129.13
6879874,0076B00047000000,19,19388.53
6879875,0076B00109000000,1,2.36
6879876,0076B00124000000,7,3247.5
6879877,0076B00128000000,7,513.9
6879878,0076B00139000000,2,720.62
6879879,0076B00142000000,8,1174.8
6879880,0076B00147000000,1,201.02
6879881,0076B00153000000,44,3885.59
6879882,0076B00154000000,17,218.77
6879883,0076B00158000000,10,936.2
6879884,0076B00160000000,5,183.2
6879885,0076B00161000000,41,4635.94
6879886,0076B00164000000,15,4889.09
6879887,0076B00168000000,8,1295.24
6879888,0076B00201000000,1,43.52
6879889,0076E00002000000,23,1293.55
6879890,0076E00026000000,1,121.56
6879891,0076E00066000000,12,1630.94
6879892,0076E00072000000,7,979.76
6879893,0076E00083000A00,4,953.5
6879894,0076E00094000B00,2,83.32
6879895,0076E00104000000,62,4550.28
6879896,0076E00170000000,3,884.83
6879897,0076E00171000000,2,244.2
6879898,0076E00175000000,1,186.15
6879899,0076E00176000000,15,7260.12
6879900,0076E00177000000,7,1063.86
6879901,0076E00178000000,1,117.78
6879902,0076E00180000000,1,315.96
6879903,0076E00254000000,1,79.93
6879904,0076E00261000000,1,62.44
6879905,0076F00003000000,18,1439.76
6879906,0076F00004000000,20,2194.8
6879907,0076F00005000000,20,2200.2
6879908,0076F00041000000,1,131.02
6879909,0076F00053000000,1,253.06
6879910,0076F00057000000,1,782.08
6879911,0076F00058000000,1,1163.83
6879912,0076F00076000000,22,8789.71
6879913,0076F00077000000,15,286.09
6879914,0076F00082000000,5,200.01
6879915,0076F00115000000,4,2449.9
6879916,0076F00116000000,1,58.05
6879917,0076F00117000000,2,257.32
6879918,0076F00118000000,36,10328.75
6879919,0076F00119000000,28,8758.05
6879920,0076F00121000000,50,10358.41
6879921,0076F00123000000,7,1092.77
6879922,0076F00207000000,12,272.23
6879923,0076F00208000000,21,3735.01
6879924,0076F00212000000,1,157.29
6879925,0076F00213000000,1,59.6
6879926,0076J00034000000,6,742.37
6879927,0076J00042000000,14,1821.24
6879928,0076J00043000000,15,2144.57
6879929,0076J00044000000,5,1037.61
6879930,0076J00046000000,1,721.32
6879931,0076J00051000000,1,15.61
6879932,0076J00057000000,1,18.92
6879933,0076J00072000000,1,16.38
6879934,0076J00075000000,19,7248.35
6879935,0076J00080000000,3,0.77
6879936,0076J00081000000,14,5512.64
6879937,0076J00104000000,17,6352.94
6879938,0076J00106000000,24,3611.43
6879939,0076J00113000000,33,13769.52
6879940,0076J00115000000,42,4745.87
6879941,0076J00130000000,1,113.05
6879942,0076J00131000000,1,176.4
6879943,0076J00135000000,1,77.7
6879944,0076J00140000000,5,1357.3
6879945,0076J00160000000,17,4268.12
6879946,0076J00161000000,20,12420.91
6879947,0076J00175000000,7,1882.67
6879948,0076J00179000000,9,2048.38
6879949,0076J00211000000,1,208.12
6879950,0076J00217000000,11,6581.48
6879951,0076J00221000000,5,5378.36
6879952,0076J00222000000,1,906.74
6879953,0076J00224000000,1,526
6879954,0076J00225000000,3,1188.1
6879955,0076J00227000000,2,6.62
6879956,0076J00229000000,63,4259.83
6879957,0076J00257000000,22,10368.33
6879958,0076J00281000000,39,5034.74
6879959,0076J00285000000,18,3502.97
6879960,0076J00286000000,26,5899.41
6879961,0076J00287000000,1,71.42
6879962,0076J00292000000,1,92.56
6879963,0076J00293000000,7,1202.82
6879964,0076J00294000000,31,16172.16
6879965,0076J00311000000,3,2197.58
6879966,0076J00312000000,4,47.99
6879967,0076J00315000000,29,11018.05
6879968,0076J00317000000,1,10.88
6879969,0076J00318000000,1,142.85
6879970,0076J00333000000,24,6800.52
6879971,0076J00334000000,7,1009.82
6879972,0076J00336000000,2,143.8
6879973,0076J00337000000,2,1144.29
6879974,0076J00338000000,24,1382.37
6879975,0076J00340000000,5,3101.09
6879976,0076J00341000000,4,2165.16
6879977,0076J00342000A00,27,10593.09
6879978,0076J00343000000,15,822.44
6879979,0076J00353000000,1,363.61
6879980,0076J00354000000,9,4396.74
6879981,0076J00355000000,8,423.21
6879982,0076J00358000000,22,6127.94
6879983,0076J00359000000,1,141.43
6879984,0076J00371000000,1,5.2
6879985,0076J00372000000,1,3.31
6879986,0076J00379000000,1,74.73
6879987,0076J00380000000,9,2121.61
6879988,0076J00381000000,1,158.46
6879989,0076J00382000000,22,6164.13
6879990,0076K00002000000,10,3015.65
6879991,0076K00040000000,1,104.96
6879992,0076K00061000000,1,199.61
6879993,0076K00070000000,24,14201.85
6879994,0076K00075000000,21,872.69
6879995,0076K00077000000,6,1518.49
6879996,0076K00079000000,8,4363.16
6879997,0076K00083000000,1,201.02
6879998,0076K00084000000,1,260.15
6879999,0076K00090000000,24,9881.37
6880000,0076K00091000000,17,6479.21
6880001,0076K00092000000,25,8042.75
6880002,0076K00102000000,1,125.34
6880003,0076K00103000000,1,27.91
6880004,0076K00108000000,1,264.41
6880005,0076K00109000000,12,4372.55
6880006,0076K00113000000,1,383.01
6880007,0076K00132000000,16,5405.81
6880008,0076K00139000000,3,782.35
6880009,0076K00141000000,3,746.34
6880010,0076K00143000000,1,210.48
6880011,0076K00144000000,1,168.53
6880012,0076K00145000000,15,84.11
6880013,0076K00146000000,26,7176.61
6880014,0076K00152000000,1,69.58
6880015,0076K00163000000,3,720.77
6880016,0076K00164000000,4,2468.07
6880017,0076K00198000000,19,5685.01
6880018,0076K00201000000,28,9435.12
6880019,0076K00211000000,1,92.71
6880020,0076K00218000000,22,7033.36
6880021,0076K00224000000,1,42.1
6880022,0076K00224000A00,1,234.84
6880023,0076K00227000000,32,12081.75
6880024,0076K00231000000,47,2260.33
6880025,0076K00234000000,5,1049.29
6880026,0076K00236000000,45,6300.42
6880027,0076K00243000000,1,128.98
6880028,0076K00244000000,20,4189.95
6880029,0076K00247000000,2,245.96
6880030,0076K00256000000,23,7339.67
6880031,0076K00259000000,1,172.17
6880032,0076K00313000000,8,1021.03
6880033,0076K00316000000,1,100.28
6880034,0076K00318000000,2,676.98
6880035,0076K00319000000,25,11550.3
6880036,0076K00342000000,12,6826.05
6880037,0076K00352000000,1,1.64
6880038,0076L00052000000,3,2632.72
6880039,0076L00103000000,1,175.01
6880040,0076L00104000000,1,528.67
6880041,0076L00105000000,1,389.22
6880042,0076L00115000001,1,372.72
6880043,0076L00122000000,8,4598.35
6880044,0076L00123000000,1,267.72
6880045,0076L00163000000,7,1793.74
6880046,0076L00164000000,42,11850.18
6880047,0076L00166000000,3,757.33
6880048,0076L00167000000,1,23.65
6880049,0076L00173000000,22,11757.31
6880050,0076N00001000000,27,10634.47
6880051,0076N00003000000,1,113.52
6880052,0076N00004000000,1,103.11
6880053,0076N00006000000,22,11990.32
6880054,0076N00013000000,8,3072.96
6880055,0076N00014000000,8,2866.45
6880056,0076N00016000000,6,1286.48
6880057,0076N00018000000,23,3322.58
6880058,0076N00023000000,16,5678.82
6880059,0076N00024000A00,28,9878.79
6880060,0076N00024000H00,34,7340.86
6880061,0076N00024000J00,49,4819.21
6880062,0076N00024000K00,52,3953.82
6880063,0076N00027000000,10,2123
6880064,0076N00027000A00,37,6654.39
6880065,0076N00027000B00,10,490.78
6880066,0076N00027000C00,32,8906.09
6880067,0076N00027000D00,31,6374.88
6880068,0076N00027000E00,1,1.42
6880069,0076N00027000F00,33,9268.18
6880070,0076N00027000G00,2,169.34
6880071,0076N00031000000,11,55.62
6880072,0076N00033000000,18,2934.84
6880073,0076N00034000000,30,7943.88
6880074,0076N00042000000,1,196.3
6880075,0076N00044000000,10,2357.71
6880076,0076N00045000000,12,5163.03
6880077,0076N00046000000,1,138.12
6880078,0076N00047000000,10,2597.21
6880079,0076N00048000000,2,55.82
6880080,0076N00052000000,33,8685.44
6880081,0076N00057000000,1,207.17
6880082,0076N00058000000,1,232.72
6880083,0076N00090000000,2,1024.21
6880084,0076N00100000000,4,2116.53
6880085,0076N00102000000,8,3552.94
6880086,0076N00115000000,2,2157.74
6880087,0076N00124000000,1,96.02
6880088,0076N00129000000,1,212.38
6880089,0076N00131000000,2,40.8
6880090,0076N00132000000,10,2153.55
6880091,0076N00136000000,22,7266.74
6880092,0076N00137000000,22,6495.42
6880093,0076N00139000000,13,2806.5
6880094,0076N00145000000,3,170.25
6880095,0076N00184000000,1,84.56
6880096,0076N00185000000,15,4588.25
6880097,0076N00194000000,10,810.02
6880098,0076N00195000000,1,175.96
6880099,0076N00196000000,8,1362.63
6880100,0076N00198000000,14,3258.09
6880101,0076N00200000000,20,6366.03
6880102,0076N00206000000,1,260.62
6880103,0076N00210000000,7,2191.89
6880104,0076N00212000000,14,6359
6880105,0076N00213000000,1,350.77
6880106,0076N00214000000,2,107.09
6880107,0076N00215000000,41,10876.17
6880108,0076N00260000000,10,74.28
6880109,0076N00261000000,10,74.28
6880110,0076N00262000000,38,10786.67
6880111,0076N00269000000,9,2733.66
6880112,0076N00271000000,3,14.19
6880113,0076N00280000000,5,2653.83
6880114,0076N00281000000,14,3348.09
6880115,0076N00283000000,20,6321.33
6880116,0076N00291000000,34,11934.23
6880117,0076N00292000000,33,2420.2
6880118,0076N00300000000,23,3528.86
6880119,0076N00303000000,16,2515.28
6880120,0076N00306000000,33,8695.72
6880121,0076N00307000000,2,959.58
6880122,0076N00309000000,19,8521.41
6880123,0076N00316000000,12,1025.65
6880124,0076N00317000000,1,43.99
6880125,0076N00319000000,1,681.59
6880126,0076N00330000000,16,5514.93
6880127,0076N00371000000,33,7840.87
6880128,0076N00373000A00,22,987.92
6880129,0076N00374000000,10,2000.16
6880130,0076N00377000000,1,248.8
6880131,0076N00384000000,13,13727.9
6880132,0076N00391000000,1,193.46
6880133,0076P00008000000,16,6760.38
6880134,0076P00011000000,1,108.81
6880135,0076P00017000000,37,10074.2
6880136,0076P00027000000,1,158.46
6880137,0076P00042000000,16,6153.57
6880138,0076P00044000000,42,3166.12
6880139,0076P00046000000,1,184.94
6880140,0076P00056000000,1,80.41
6880141,0076P00058000000,1,27.43
6880142,0076P00060000000,1,183.52
6880143,0076P00062000000,1,110.68
6880144,0076P00066000000,7,1078.02
6880145,0076P00069000000,2,512.74
6880146,0076P00072000000,10,893.69
6880147,0076P00074000000,2,855.73
6880148,0076P00076000000,1,206.23
6880149,0076P00079000000,26,5865.2
6880150,0076P00084000000,1,186.84
6880151,0076P00087000000,17,2804.22
6880152,0076P00102000000,3,1850.4
6880153,0076P00103000000,21,6439.66
6880154,0076P00104000000,27,1627.18
6880155,0076P00107000000,14,2830.08
6880156,0076P00108000000,12,4622.08
6880157,0076P00109000000,4,911.83
6880158,0076P00110000000,3,28.38
6880159,0076P00117000000,18,4390.64
6880160,0076P00118000000,1,233.19
6880161,0076R00004000000,43,8699.75
6880162,0076R00006000000,7,2285.83
6880163,0076S00008000000,2,484.36
6880164,0076S00032000000,14,4197.63
6880165,0076S00058000000,19,5373.9
6880166,0076S00060000000,14,103.44
6880167,0076S00062000000,21,12684.48
6880168,0076S00078000000,22,874.41
6880169,0076S00079000000,19,9668.34
6880170,0076S00088000000,18,3975.58
6880171,0076S00089000000,11,957.1
6880172,0077A00017000000,2,671.55
6880173,0077A00073000000,1,688.22
6880174,0077A00118000000,1,347.16
6880175,0077B00034000000,1,406.78
6880176,0077B00044000000,2,469.58
6880177,0077B00051000000,9,6108.96
6880178,0077B00065000000,2,61.18
6880179,0077B00096000000,3,9535.7
6880180,0077B00100000000,1,643.04
6880181,0077B00152000000,1,264.98
6880182,0077B00170000000,21,73.83
6880183,0077B00172000000,22,53.08
6880184,0077B00174000000,13,32.94
6880185,0077B00189000000,1,281.87
6880186,0077B00193000000,10,998.98
6880187,0077B00193000A00,1,147.58
6880188,0077B00194000000,3,274.69
6880189,0077B00195000000,13,11447.1
6880190,0077B00210000000,6,1839.05
6880191,0077B00212000000,11,3866.83
6880192,0077B00213000000,6,983.13
6880193,0077B00217000000,2,1469.79
6880194,0077B00324000000,13,903.22
6880195,0077B00354000000,22,37.38
6880196,0077C00008000000,47,2796.96
6880197,0077C00013000000,47,1106.95
6880198,0077C00097000000,19,901.73
6880199,0077C00103000000,24,151.83
6880200,0077D00046000000,3,25.86
6880201,0077D00178000000,56,13940.86
6880202,0077D00182000000,15,998.72
6880203,0077E00066000000,1,456.12
6880204,0077E00071000000,1,239.34
6880205,0077E00086000000,1,317.38
6880206,0077E00088000000,1,262.52
6880207,0077E00115000000,2,278.12
6880208,0077F00024000000,15,1188.14
6880209,0077F00025000000,25,11506.1
6880210,0077F00031000000,1,236.5
6880211,0077F00037000000,1,294.74
6880212,0077F00042000000,14,633.37
6880213,0077F00043000000,5,1310.31
6880214,0077F00049000000,1,52.6
6880215,0077F00051000000,1,47.77
6880216,0077F00151000000,11,1657.98
6880217,0077F00191000000,13,5884.97
6880218,0077F00192000000,6,1231.67
6880219,0077F00193000000,6,619.3
6880220,0077F00198000000,2,283.42
6880221,0077F00203000000,17,56.24
6880222,0077F00206000000,13,425.12
6880223,0077F00207000000,21,1660.12
6880224,0077F00225000000,4,5301.19
6880225,0077F00226000000,23,5713.61
6880226,0077F00227000000,4,85.12
6880227,0077F00229000000,8,1074.61
6880228,0077F00249000000,7,105.58
6880229,0077F00252000000,19,41.75
6880230,0077F00254000000,22,6004.16
6880231,0077F00272000000,1,214.8
6880232,0077F00278000000,29,3656.17
6880233,0077F00284000000,5,2004.02
6880234,0077G00014000000,21,213.45
6880235,0077G00098000001,26,565.21
6880236,0077G00115000000,6,101.36
6880237,0077G00129000000,62,2749.58
6880238,0077G00130000000,38,94.49
6880239,0077G00131000000,6,69.21
6880240,0077G00150000000,4,1781.04
6880241,0077G00167000000,1,358.18
6880242,0077G00250000000,1,64.33
6880243,0077H00150000000,3,12.05
6880244,0077J00009000000,8,66.5
6880245,0077J00010000000,22,2725.94
6880246,0077J00011000000,17,1800.27
6880247,0077J00018000000,2,13.25
6880248,0077J00020000000,22,99.48
6880249,0077J00032000000,1,793.67
6880250,0077J00054000000,3,2860.48
6880251,0077J00092000000,1,369.41
6880252,0077J00116000000,4,2755.04
6880253,0077J00202000000,1,29.88
6880254,0077J00266000000,13,5.69
6880255,0077J00272000000,2,87.85
6880256,0077J00340000000,1,252.94
6880257,0077K00002000000,1,81.36
6880258,0077K00004000000,1,4.26
6880259,0077K00032000000,4,578.15
6880260,0077K00033000000,3,485.43
6880261,0077K00034000000,20,2667.2
6880262,0077K00035000000,6,149.4
6880263,0077K00045000000,1,19.87
6880264,0077K00078000000,22,4508.12
6880265,0077K00084000000,28,4409.49
6880266,0077K00085000000,37,3973.03
6880267,0077K00097000000,9,695.23
6880268,0077K00122000000,3,41.95
6880269,0077K00129000000,28,79.7
6880270,0077K00131000000,16,84.65
6880271,0077K00137000000,27,4432.5
6880272,0077K00139000000,22,1953.87
6880273,0077K00144000000,51,6996.41
6880274,0077K00145000000,6,1404.6
6880275,0077K00146000000,82,4764.03
6880276,0077K00148000000,20,12887.94
6880277,0077K00149000000,20,872.84
6880278,0077K00150000000,18,889.24
6880279,0077K00151000000,27,13.24
6880280,0077K00154000000,14,1671.29
6880281,0077K00157000000,12,1038.92
6880282,0077K00159000000,12,4633.7
6880283,0077K00191000000,66,1031.1
6880284,0077K00192000000,22,37.38
6880285,0077K00265000000,2,486.72
6880286,0077K00267000000,2,438.94
6880287,0077K00289000000,1,79.94
6880288,0077K00329000000,1,729.24
6880289,0077K00334000000,5,11095.58
6880290,0077L00001000000,8,129.73
6880291,0077L00066000000,48,1098.97
6880292,0077L00074000000,17,237.85
6880293,0077L00132000000,6,44.52
6880294,0077L00135000000,21,98.54
6880295,0077L00136000000,13,7450.97
6880296,0077L00216000000,1,223.73
6880297,0077M00043000000,31,13735.66
6880298,0077M00110000000,1,0.16
6880299,0077N00006000000,1,96.49
6880300,0077N00022000000,3,1140.43
6880301,0077N00068000000,1,256.37
6880302,0077N00073000000,1,180.18
6880303,0077N00080000000,2,94.31
6880304,0077N00085000000,13,9470.16
6880305,0077N00086000000,2,437.11
6880306,0077N00088000000,5,832.07
6880307,0077N00090000000,2,495.84
6880308,0077N00091000000,3,1192.05
6880309,0077N00095000000,33,13547.46
6880310,0077N00096000000,1,66.69
6880311,0077N00105000000,6,569.45
6880312,0077N00106000000,31,9245.59
6880313,0077N00107000000,25,2821.12
6880314,0077N00124000000,1,63.86
6880315,0077N00158000000,2,223.96
6880316,0077N00159000000,3,63.84
6880317,0077N00163000000,1,9.23
6880318,0077N00164000000,5,3534.76
6880319,0077N00167000000,37,5140.04
6880320,0077N00180000000,1,21.28
6880321,0077N00187000000,5,2752.27
6880322,0077N00189000000,44,906.13
6880323,0077N00194000000,1,8.82
6880324,0077N00207000000,11,4154.67
6880325,0077N00209000000,3,22.71
6880326,0077N00224000000,11,82.09
6880327,0077N00227000000,21,8511.86
6880328,0077N00233000000,1,525.68
6880329,0077N00234000000,19,517.07
6880330,0077N00235000000,32,837.24
6880331,0077N00236000000,3,2906.12
6880332,0077N00250000000,5,4256.77
6880333,0077N00252000000,1,21.28
6880334,0077N00253000000,2,3389.11
6880335,0077N00278000000,1,150.41
6880336,0077N00286000000,6,3045.42
6880337,0077N00305000000,1,300.83
6880338,0077N00320000000,4,221.47
6880339,0077N00321000000,12,6217.87
6880340,0077N00323000000,1,357.59
6880341,0077N00326000000,2,51.73
6880342,0077N00329000000,21,6777.28
6880343,0077N00341000000,20,9061.8
6880344,0077N00342000000,47,3832.91
6880345,0077N00350000000,6,1922.6
6880346,0077N00352000000,21,5776.1
6880347,0077N00353000000,27,15562.52
6880348,0077N00356000000,3,600.24
6880349,0077N00357000000,8,2037.97
6880350,0077N00358000000,13,2497.45
6880351,0077N00359000000,25,16299.76
6880352,0077P00005000000,7,1227.51
6880353,0077P00006000000,22,8118.06
6880354,0077P00018000000,33,17451.75
6880355,0077P00024000000,24,31718.33
6880356,0077P00032000000,3,3008.27
6880357,0077P00036000000,1,252.58
6880358,0077P00044000000,4,2389.88
6880359,0077P00048000000,39,6812.89
6880360,0077P00052000000,23,4302.29
6880361,0077P00053000000,33,4620.1
6880362,0077P00055000000,40,13614.63
6880363,0077P00058000000,36,4177.3
6880364,0077P00060000000,3,9.93
6880365,0077P00061000000,5,231.03
6880366,0077P00063000000,4,218.66
6880367,0077P00065000000,17,321.4
6880368,0077P00068000000,6,1632.08
6880369,0077P00071000000,22,74.5
6880370,0077P00073000000,2,789.53
6880371,0077P00075000000,38,8997.28
6880372,0077P00077000000,58,4981.94
6880373,0077P00079000000,5,279
6880374,0077P00080000000,33,11452.33
6880375,0077P00081000000,47,15591.2
6880376,0077P00082000000,2,956.51
6880377,0077P00094000000,12,3051.02
6880378,0077P00101000000,16,3645.21
6880379,0077P00102000000,29,8498.42
6880380,0077P00104000000,1,47.3
6880381,0077P00105000000,3,913.83
6880382,0077P00107000000,19,77.68
6880383,0077P00109000000,10,53.58
6880384,0077P00110000000,5,70.68
6880385,0077P00111000000,43,1124.12
6880386,0077P00112000000,34,3061.77
6880387,0077P00113000000,33,890.36
6880388,0077P00114000000,43,3017.07
6880389,0077P00116000000,28,10606.11
6880390,0077P00118000000,12,119.67
6880391,0077P00121000000,26,5359.33
6880392,0077P00122000000,32,11195.83
6880393,0077P00125000000,44,14662.1
6880394,0077P00126000000,21,9086.36
6880395,0077P00128000000,1,3.78
6880396,0077P00134000000,2,233.28
6880397,0077P00140000000,2,546.78
6880398,0077P00144000000,15,192.68
6880399,0077P00145000000,15,282.93
6880400,0077P00146000000,33,10490.92
6880401,0077P00148000000,31,979.48
6880402,0077P00149000000,3,4523.76
6880403,0077P00151000000,4,5013.85
6880404,0077P00154000000,47,1837.75
6880405,0077P00156000000,37,1628.67
6880406,0077P00160000000,47,1231.44
6880407,0077P00161000000,58,1436.43
6880408,0077P00162000000,10,1049.41
6880409,0077P00163000000,47,3195.86
6880410,0077P00164000000,44,2856.81
6880411,0077P00166000000,4,836.89
6880412,0077P00171000000,3,478.76
6880413,0077P00182000000,25,8102.58
6880414,0077P00183000000,27,1034.42
6880415,0077P00184000000,34,892.38
6880416,0077P00186000000,40,1364.81
6880417,0077P00188000000,44,7253.63
6880418,0077P00190000000,1,134.8
6880419,0077P00192000000,8,1903.8
6880420,0077P00196000000,40,4162.84
6880421,0077P00200000000,3,1103.25
6880422,0077P00202000000,3,2722.51
6880423,0077P00206000000,6,2330.71
6880424,0077P00210000000,41,7925.68
6880425,0077P00217000000,37,23410.81
6880426,0077P00224000000,25,6705.45
6880427,0077P00226000000,26,4104.23
6880428,0077P00227000000,47,19577.43
6880429,0077P00237000000,5,4894.41
6880430,0077P00251000000,23,14745.26
6880431,0077P00253000000,5,2641.97
